abstract	id	paper_ref	title	presenters	authors	affiliations	topic
abstract_0396.html	656	P7-01	Improving Pension Information: Experimental Evidence on Willingness to Learn Using Online Resources	Denise Laroze	Denise Laroze (1), Charles Noussair (2), Ximena Quintanilla (3), Paulina Granados (3), Mauricio Lopez (1)	1. USACH, 2. University of Arizona, 3. Superintendencia de Pensiones	Political Economy, Public Policy and Administration
abstract_0395.html	32	P7-01	How Does Constituency-Level Partisan Dealignment Affect Parliamentary Behaviour?	Thomas Fleming	Thomas Fleming	Department of Politics, University of York	Legislative Studies and Party Politics
abstract_0394.html	294	P7-01	When Do Elections Help Autocrats?: The Plight of Tribes under SNTV in Jordan	Eleanor Gao	Eleanor Gao	University of Exeter (UK)	Comparative Politics
abstract_0393.html	323	P7-01	Clientelism, Credibility, and Context	Ellen Lust	Ellen Lust	University of Gothenburg	Elections, Public Opinion, and Voting Behaviour
abstract_0392.html	80	P7-01	Right Party Competition in Europe: The Electoral Strategies of the Far Right during Crises	James Downes	James Downes (1), Matthew Loveless (2)	1. The Chinese University of Hong Kong, 2. University of Bologna	Elections, Public Opinion, and Voting Behaviour
abstract_0391.html	47	P7-01	Drivers of bilateral aid of EU member states: Evidence from a time-series cross-section analysis	Ringailė Kuokštytė	Ringailė Kuokštytė (1), Vytautas Kuokštis (2)	1. General Jonas Žemaitis Military Academy of Lithuania, 2. Institute of International Relations and Political Science, Vilnius University	EU Politics
abstract_0390.html	425	P7-01	Age Isn't Just a Number: A Comparative Age-Period-Cohort Analysis of Political Beliefs	Philip Swatton	Philip Swatton	University of Essex	Elections, Public Opinion, and Voting Behaviour
abstract_0389.html	380	P6-04	Humanitarian Concerns and Acceptance of Syrian Refugees in Turkey	Anna Getmansky	Anna Getmansky (1), Tolga Sinmazdemir (2), Konstantinos Matakos (3)	1. LSE, 2. SOAS, 3. KCL	International Relations and Conflict
abstract_0388.html	560	P6-05	The Effect of Compulsory Civic Duty on Turnout	Ignacio Jurado	Ignacio Jurado (1), Joaquin Artes (2)	1. Universidad Carlos III, 2. Universidad Complutense	Elections, Public Opinion, and Voting Behaviour
abstract_0387.html	555	P6-05	We have been left behind, haven't we? Economic status loss, class voting and the populist radical right	Giuseppe Ciccolini	Giuseppe Ciccolini	European University Institute	Elections, Public Opinion, and Voting Behaviour
abstract_0386.html	299	P6-03	The Determinants and Implications of Policy Preferences in Response to South-South Forced Migration: Experimental Evidence from Colombia	William Allen	Isabel Ruiz (1), William Allen (2), Carlos Vargas-Silva (3)	1. University of Oxford, Blavatnik School of Government, 2. University of Oxford, Department of Politics and International Relations, 3. University of Oxford, Centre on Migration, Policy, and Society	Political Economy, Public Policy and Administration
abstract_0385.html	515	P6-04	Collective Resentment and Protest Vote	Gloria Gennaro	Gloria Gennaro (1), Carlo Altomonte (2), Francesco Passarelli (3)	1. ETH, Immigration Policy Lab, 2. Bocconi University, 3. Collegio Carloalberto	Comparative Politics
abstract_0384.html	247	P6-04	The Social Status Hierarchy and Its Cultural and Economic Determinants	Magdalena Breyer	Magdalena Breyer	University of Zurich, Department of Political Science	Elections, Public Opinion, and Voting Behaviour
abstract_0383.html	322	P6-04	Neighborhood Social Ties and Compliance among the Poor	Prisca Jöst, Ellen Lust	Prisca Jöst (1), Ellen Lust (2)	1. University of Gothenburg, 2. University of Gothenburg	Elections, Public Opinion, and Voting Behaviour
abstract_0382.html	431	P6-04	A new approach to measure economic competitiveness on a subnational level.	Robert Huber	Robert Huber, Yannick Stiller, Andreas Dür	University of Salzburg	Political Economy, Public Policy and Administration
abstract_0381.html	34	P6-04	Campaign Contributions and Legislative Behaviour: Evidence from U.S. Congress	Alberto Parmigiani	Alberto Parmigiani	LSE - London School of Economics and Political Science	Political Economy, Public Policy and Administration
abstract_0380.html	665	P6-04	No tolerance for parties breaking their promises? What citizens (do not) want from their parties	Theres Matthieß	Theres Matthieß	University Of Mannheim	Political Methodology
abstract_0379.html	567	P6-04	Identifying the causal effect of terrorism on voting behavior: Evidence from multiple unexpected terror events during surveys	Albert Falcó-Gimeno, Jordi Muñoz	Albert Falcó-Gimeno (1), Jordi Muñoz (1), Roberto Pannico (2)	1. University of Barcelona, 2. University of Lisbon	Elections, Public Opinion, and Voting Behaviour
abstract_0378.html	455	P6-04	From the Beer Halls to the Streets: Elite Influence and Political Violence in Weimar Germany	Dennis Atzenhofer	Dennis Atzenhofer	ETH Zürich	International Relations and Conflict
abstract_0377.html	472	P6-04	Assessing the Extent of Populist Attitudes among Voters Using Machine Learning	Fabian Habersack, Carsten Wegscheider, Marco Fölsch	Fabian Habersack, Carsten Wegscheider, Marco Fölsch	University of Salzburg	Elections, Public Opinion, and Voting Behaviour
abstract_0376.html	371	P6-04	A Booth of One’s Own: Pakistani Elections and the Effectiveness of Female-Only Polling Stations	J. Andrew Harris, Rabia Malik	J. Andrew Harris (2), Rabia Malik (1)	1. University of Essex, 2. New York University Abu Dhabi	Comparative Politics
abstract_0375.html	266	P6-04	Biased but moderate voters: How information depolarizes political attitudes	Davide Morisi	Davide Morisi	Collegio Carlo Alberto	Political Communications
abstract_0374.html	382	P6-03	Does Party-System Fragmentation Affect the Quality of Democracy?	Vicente Valentim	Vicente Valentim, Elias Dinas	European University Insitute	Comparative Politics
abstract_0373.html	287	P6-03	Does Industrialization Cause Democratization? Quasi-Experimental Evidence from the Norwegian and Swiss Industrial Revolution	Sam van Noort	Sam van Noort (1,2), Magnus Rasmussen (3), Tore Wig (3)	1. University of Cambridge, 2. Harvard University, 3. University of Oslo	Comparative Politics
abstract_0372.html	570	P6-03	The Effect of Vocational Education on Voter Choice	Sarah Wagner, Philip Swatton	Sarah Wagner, Philip Swatton	University of Essex	Elections, Public Opinion, and Voting Behaviour
abstract_0371.html	133	P6-03	The Political Economy of Rental Housing	Thomas Kurer	Tarik Abou-Chadi (1), Denis Cohen (2), Thomas Kurer (1)	1. University of Zurich, 2. University of Mannheim	Elections, Public Opinion, and Voting Behaviour
abstract_0370.html	556	P6-03	Closing the gateway to power? When and why parties grant trade unions access to ministerial office	Laurenz Ennser-Jedenastik	Laurenz Ennser-Jedenastik (1), Verena Reidinger (2), Mario Taschwer (1)	1. University of Vienna, 2. University of Zurich	Legislative Studies and Party Politics
abstract_0369.html	109	P6-03	The Economic Legacy of Early Democracy	Anders Wieland	Anders Wieland	Aarhus University	Comparative Politics
abstract_0368.html	168	P6-03	The Conditional Arm of the Law. The Effect of the OECD Anti-Bribery Convention on Foreign Direct Investment	Lorenzo Crippa	Lorenzo Crippa	University of Essex, Department of Government	Political Economy, Public Policy and Administration
abstract_0367.html	115	P6-03	Government duration and conflict resolution mechanisms	Francesco Zucchini	Francesco Zucchini, Andrea Pedrazzano	Dipartimento di Scienze Sociali e Politiche, Università degli studi di Milano	Comparative Politics
abstract_0366.html	512	P6-03	Authority and Legitimacy: Evidence from Conjoint Endorsement Experiments in Malawi and Zambia	Kristen Kao	Kristen Kao (1), Ellen Lust (1), Kate Baldwin (2)	1. University of Gothenburg, 2. Yale University	Comparative Politics
abstract_0365.html	428	P6-03	Explaining political engagement with political knowledge: The problem with the counterfactual	Maarja Lühiste	Maarja Lühiste (1), Javier Sajuria (2)	1. Newcastle University, 2. Queen Mary University of London	Elections, Public Opinion, and Voting Behaviour
abstract_0364.html	409	P6-03	Do Shared External Threats Foster Greater Assistance Among Groups in Conflict? Evidence from Israel During COVID-19	Liran Harsgor, Alon Yakter	Liran Harsgor (1), Alon Yakter (2)	1. University of Haifa, 2. Tel Aviv University	International Relations and Conflict
abstract_0363.html	543	P6-03	Populism and its post-modern predicament: Exploring how anti-feminism relate to the support for populism	Julie Hassing Nielsen	Julie Hassing Nielsen	Lund University	Elections, Public Opinion, and Voting Behaviour
abstract_0362.html	511	P6-03	Someone like me? The role of identity in support for disabled candidates	Stefanie Reher	Stefanie Reher	University of Strathclyde	Elections, Public Opinion, and Voting Behaviour
abstract_0361.html	253	P6-03	The gender politics of access to party office	Javier Martínez-Cantó	Javier Martínez-Cantó (1), Tània Verge (2)	1. University of Konstanz, 2. Universitat Pompeu Fabra	Legislative Studies and Party Politics
abstract_0360.html	183	P6-03	Does polarization moderate the electoral impact of issue positions and competence? A comparative study on the 2019 EP elections	Andreas Goldberg	Andreas Goldberg (1), Jonas Lefevere (2)	1. University of Amsterdam, 2. Vrije Universiteit Brussel	Elections, Public Opinion, and Voting Behaviour
abstract_0359.html	76	P6-02	The Regional Governance of Immigrant Reception: Mercosur before the presence of Venezuelans in South America	Andrea Carla Bianculli, Juan Carlos Triviño-Salazar	Andrea Carla Bianculli, Juan Carlos Triviño-Salazar	Institut Barcelona d'Estudis Internacionals	Political Economy, Public Policy and Administration
abstract_0358.html	135	P6-02	The effect of social influencers on electoral outcomes: Evidence from a natural experiment	Heike Klüver	Heike Klüver	Humboldt-Universität zu Berlin	Comparative Politics
abstract_0357.html	72	P6-02	The Meaning of Work: a Mediating Link Between Socioeconomic Status and Economic Policy Preferences	Gilad Hurvitz	Gilad Hurvitz	Hebrew University of Jerusalem	Elections, Public Opinion, and Voting Behaviour
abstract_0356.html	81	P6-02	Poll Workers and the habit of voting	Pau Vall-Prat	Pau Vall-Prat (1), Toni Rodon (2)	1. Universitat de Barcelona, 2. Universitat Pompeu Fabra	Elections, Public Opinion, and Voting Behaviour
abstract_0355.html	99	P6-02	The individual dynamics of gender backlash and far right support	Guillem Rico	Guillem Rico, Eva Anduiza	Universitat Autonoma de Barcelona	Elections, Public Opinion, and Voting Behaviour
abstract_0354.html	144	P6-02	Determinants of Progressive Parties’ Redistributive Politics - An Exploration	Alona Dolinsky	Alona Dolinsky (1), Thomas Prosser (2), Chris Prosser (3)	1. Johns Hopkins University, 2. Cardiff University, 3. Royal Holloway, University of London	Legislative Studies and Party Politics
abstract_0353.html	497	P6-02	Papal Dividends: Do Popes’ Political Communications Move Economic Markets?	Federica Genovese, Lorenzo Crippa	Federica Genovese, Lorenzo Crippa	University of Essex	Political Economy, Public Policy and Administration
abstract_0352.html	258	P6-02	"Global Aspects of Deservingness: How international trade risks and migration flows affect pension deservingness perception in Brazil"	Franziska Deeg	Franziska Deeg	University of Cologne	Political Economy, Public Policy and Administration
abstract_0351.html	123	P6-02	Party Systems and Parliamentarianism	Simon Davidsson	Simon Davidsson	1. Lund University	Comparative Politics
abstract_0350.html	583	P6-02	Rebels in Representative Democracies: The Appeal and Consequences of Political Defection in Europe	Jonathan Slapin	Jonathan Slapin (1), Dominik Duell (2), Lea Kaftan (3), Sven-Oliver Proksch (3), Christopher Wratil (4)	1. University of Zurich, 2. University of Essex, 3. University of Cologne, 4. University College, London	Legislative Studies and Party Politics
abstract_0349.html	162	P6-02	The Effects of Sophisticated Political Communication: Evidence from a Large-Scale Survey Experiment	Daniel Bischof, Roman Senninger	Daniel Bischof (1), Roman Senninger (2)	1. University of Zurich, 2. Aarhus University	Political Communications
abstract_0348.html	197	P6-02	Internal minorities in ethno-territorial homelands: More likely to mobilize, more likely to become victimized?	Andreas Juon	Andreas Juon	International Conflict Research Group, ETH Zurich	International Relations and Conflict
abstract_0347.html	611	P6-02	The Empire Strikes Back: An Experiment on Brexit, Slavery and Imperial Nostalgia	Joe Kendall	Joe Kendall	European University Institute	Elections, Public Opinion, and Voting Behaviour
abstract_0346.html	500	P6-02	Someone like you? How “humanizing” politicians helps to reduce populist attitudes	Nathalie Giger	Nathalie Giger (1), Stefanie Bailer (2), Elisa Volpi (1)	1. University of Geneva, 2. University of Basel	Elections, Public Opinion, and Voting Behaviour
abstract_0345.html	344	P6-02	Female Front-Runner Entry and the Gender Gap in Voter Turnout. Findings from a Differences-in-Differences Design	Jan Berz	Jan Berz	Department of Political Science, Trinity College Dublin	Elections, Public Opinion, and Voting Behaviour
abstract_0344.html	161	P6-02	Primary Roots of Partisan Polarization: The Effects of Primaries on Intra-Campaign Positional Shifts in Congressional Elections	Marius Saeltzer	Marius Saeltzer (1), Mike Cowburn (2)	1. University Mannheim, 2. Free University of Berlin	Legislative Studies and Party Politics
abstract_0343.html	658	P6-01	Refugee Evictions and the Spread of Refugee-Native Clashes: Evidence from Turkey	Kerim Kavakli	Kerim Kavakli	Bocconi University	Comparative Politics
abstract_0342.html	132	P6-01	Information and Perceptions of Election Fraud, Judicial Rulings, and Diffuse Political Support	Lion Behrens	Lion Behrens, Viktoriia Semenova	University of Mannheim, Germany	Comparative Politics
abstract_0341.html	208	P6-01	How the Workplace affects Employee Political Contributions	Jan Stuckatz	Jan Stuckatz	Institute for Advanced Study in Toulouse (IAST)	Political Economy, Public Policy and Administration
abstract_0340.html	272	P6-01	Are social media campaigns reaching young people? Mobilising the youth vote in the 2019 UK General Elections	Florian Foos, Asli Unan	Florian Foos (1), Peter John (2), Asli Unan (2)	1. Department of Government, LSE, 2. King's College London, Department of Political Economy	Elections, Public Opinion, and Voting Behaviour
abstract_0339.html	596	P6-01	'Protect our women': The effects of gendered anti-immigration frames	Katharina Lawall	Katharina Lawall	London School of Economics	Elections, Public Opinion, and Voting Behaviour
abstract_0338.html	419	P6-01	Negotiating policy support: Explaining bias in interest group influence on legislative party groups across policy areas	Lise Rødland	Lise Rødland, Elin Haugsgjerd Allern	University of Oslo	Legislative Studies and Party Politics
abstract_0337.html	49	P6-01	Dividends of Power: The Governance of Contemporary Resource Management	Nicole Baerg	Nicole Baerg	University of Essex	Political Economy, Public Policy and Administration
abstract_0336.html	117	P6-01	Who Rebels on Trade Policy? Analyzing Voting Patterns of Legislators	Yannick Stiller	Yannick Stiller	Universität Salzburg	Political Economy, Public Policy and Administration
abstract_0335.html	615	P6-01	Legislative Scrutiny in Coalition Governments	Patrícia Calca	Patrícia Calca	CIES - ISCTE (Instituto Superior de Ciências do Trabalho e da Empresa)	Legislative Studies and Party Politics
abstract_0334.html	57	P6-01	Measuring Voters' Preferences for Political Representation	Jack Blumenau, Christopher Wratil, Fabio Wolkenstein	Jack Blumenau (1), Christopher Wratil (1), Fabio Wolkenstein (2)	1. University College London, 2. Aarhus University	Comparative Politics
abstract_0333.html	473	P6-01	The Added Value of Machine Learning for Survey Data Analysis: Empirical-Based Supervised Classification and Theory-Guided Semi-Supervised Clustering	Yue Guan	Yue Guan	University of Vienna	Political Methodology
abstract_0332.html	374	P6-01	Resources and Rape: Patterns of wartime rape in activist insurgencies	Amelie Freiberg	Amelie Freiberg	Triniy College Dublin	International Relations and Conflict
abstract_0331.html	321	P6-01	"Parties, political rebels and the Querdenker movement: How German politicians have responded to the COVID-19 protests"	Lennart Schürmann	Lennart Schürmann (1), Jan Schwalbach (1), Noam Himmelrath (2)	1. University of Cologne, 2. University of Mannheim	Legislative Studies and Party Politics
abstract_0330.html	219	P6-01	Do Candidates Tweet About Oirish Sheep? Examining the Irish #GE2020 Campaign on Social Media Using an Images-as-Data Approach	James Cross	James Cross, Mark Belford, Derek Greene, Stefan Müller, Martijn Schoonvelde	University College Dublin	Political Communications
abstract_0329.html	412	P6-01	Gender and political selection: Experimental evidence about how party leaders appoint their teams	Alba Huidobro	Alba Huidobro	Pompeu Fabra University, IBEI	Elections, Public Opinion, and Voting Behaviour
abstract_0328.html	127	P6-01	Vanishing Swing Voters? On the Effect of Political Polarization on Electoral Volatility	Mert Moral	Mert Moral	Sabanc? University	Elections, Public Opinion, and Voting Behaviour
abstract_0327.html	542	P5-05	Explaining the politicization of EU: Parties and media agendas across time and space	Nelson Santos	Nelson Santos	Instituto de Ciências Sociais (ICS) from University of Lisbon	EU Politics
abstract_0326.html	367	P5-05	Opposition fragmentation facilitates electoral accountability. Evidence from a survey experiment	Sergi Ferrer	Sergi Ferrer	Department of Political Science, University of Barcelona	Elections, Public Opinion, and Voting Behaviour
abstract_0325.html	75	P5-05	Economic Shocks, Mobilization, and Elite Fragmentation: The Origins of Regional Elites’ Split	Pau Vall-Prat	Pau Vall-Prat	Universitat de Barcelona	Political Economy, Public Policy and Administration
abstract_0324.html	446	P5-05	Click, click boom: Using Wikipedia metadata to predict changes in battle-related deaths	Christian Oswald	Christian Oswald, Daniel Ohrenhofer	Trinity College Dublin	International Relations and Conflict
abstract_0323.html	653	P5-05	The Importance of Distributional Implications for Climate Policy Change	Lena Schaffer	Lena Schaffer	University of Luzern	Political Economy, Public Policy and Administration
abstract_0322.html	316	P5-05	Water conflict: An Empirical Test for Neo-Malthusian View with Remotely-Sensed Data	QingQian He	QingQian He (1), YaQian He (2)	1. China University of Political Science and Law, 2. University of Central Arkansas	International Relations and Conflict
abstract_0321.html	545	P5-04	Why Steal from the Rich to Give to No One? Rethinking Redistribution in Unequal Countries	Cassilde Schwartz	Nestor Castaneda (1), David Doyle (2), Cassilde Schwartz (3)	1. University College London, 2. University of Oxford, 3. Royal Holloway, University of London	Comparative Politics
abstract_0320.html	101	P5-04	No more saints and sinners: Tracing German preference formation in the EU’s response to the Covid-19 pandemic	Lucas Schramm	Lucas Schramm	PhD Researcher, European University Institute (EUI)	EU Politics
abstract_0319.html	125	P5-04	Causes and Electoral Effects of Nostalgic Rhetoric: A Cross-National Analysis of Party Communication	Stefan Müller	Stefan Müller (1), Sven-Oliver Proksch (2)	1. University College Dublin, 2. University of Cologne	Legislative Studies and Party Politics
abstract_0318.html	116	P5-04	Identity or policy? Exploring the effects of social group appeals on voters	Lena Maria Huber	Lena Maria Huber (1), Thomas M. Meyer (2), Markus Wagner (1)	1. University of Vienna, 2. Humboldt Universität zu Berlin	Elections, Public Opinion, and Voting Behaviour
abstract_0317.html	395	P5-04	Devolution in Non-Democratic Regimes: Local Efficiency and Resource Allocation in Russian Cities	Olga Gasparyan	Olga Gasparyan	University of Rochester	Political Economy, Public Policy and Administration
abstract_0316.html	140	P5-04	Signalling disagreement or struggling to compromise? Analyzing abstention votes in the United Nations General Assembly.	David Weyrauch	David Weyrauch	University of Mannheim	International Relations and Conflict
abstract_0315.html	60	P5-04	Waves of Empowerment: Black Radio and the Civil Rights Movement	Tianyi Wang	Tianyi Wang	University of Copenhagen	Political Communications
abstract_0314.html	62	P5-04	Loyalty or Expertise - What Does an Authoritarian Regime Value in Consultations?	Felix Wiebrecht	Felix Wiebrecht	The Chinese University of Hong Kong	Comparative Politics
abstract_0313.html	375	P5-04	Does Tax Competition Undermine Support for Redistribution?	André Walter	André Walter	University of St. Gallen	Political Economy, Public Policy and Administration
abstract_0312.html	534	P5-04	War from afar: military automation and conflict	Anna Getmansky	Anna Getmansky	LSE	International Relations and Conflict
abstract_0311.html	285	P5-04	A comparative analysis of the relationship between politics and civic education	Yusuke Murakami	Yusuke Murakami	Associate Professor, The University of Tokyo	Comparative Politics
abstract_0310.html	169	P5-04	Oiling the Guns: How FDI in Oil and Gas Extraction Affects Conflict Dynamics	Lorenzo Crippa, Laura Saavedra-Lux	Lorenzo Crippa, Laura Saavedra-Lux	University of Essex, Department of Government	International Relations and Conflict
abstract_0309.html	283	P5-03	Stalled Democratization: Landholding Inequality, Social Control, and Mass Opposition to Suffrage Extension	Andreina Thoma	André Walter, Andreina Thoma, Patrick Emmenegger	University of St. Gallen	Elections, Public Opinion, and Voting Behaviour
abstract_0308.html	516	P5-03	My History or Our History? Historical Revisionism and Entitlement to Lead: Experimental Evidence from India	Emmy Lindstam	Nicholas Haas (3), Emmy Lindstam (1,2)	1. University of Mannheim, 2. University of Barcelona, 3. University of Aarhus	Comparative Politics
abstract_0307.html	550	P5-03	EU economic governance, Covid-19 and national budgetary biases in times of crisis within the Eurozone: NGEU comes to the rescue?	Matilde Ceron	Matilde Ceron	University of Milan	EU Politics
abstract_0306.html	37	P5-03	Populist Swing: How Italy’s politicians are exploiting inequality rhetoric in their communication strategy	Giovanni Angioni	Giovanni Angioni	London School of Economics and Political Science - LSE	Elections, Public Opinion, and Voting Behaviour
abstract_0305.html	88	P5-03	Social class, ethnicity, and the relative strength of competing social identities	Noam Titelman	Noam Titelman	London School of Economics and Political Science	Elections, Public Opinion, and Voting Behaviour
abstract_0304.html	332	P5-03	Parliament without Accountability? Electoral Party Platforms and Intra-Faction Coherence in the European Parliament	Ken Stiller	Ken Stiller, Giuseppe Spatafora	University of Oxford	EU Politics
abstract_0303.html	592	P5-03	Authority Matters: Institutional Reforms, Cosmopolitanism, and the Public Legitimacy of International Organizations	Bernd Schlipphak	Bernd Schlipphak, Constantin Schäfer, Oliver Treib	University of Muenster, Department of Political Science	International Relations and Conflict
abstract_0302.html	51	P5-03	Critical Junctures and Public Health Policy: A Study of Nazi Germany and the United States	Renu Singh	Renu Singh	Georgetown University Law Center, The Hong Kong University of Science and Technology	Comparative Politics
abstract_0301.html	87	P5-03	Keeping Up With the Kims: A Social Network Analysis of the Effects of Purges in North Korea	Edward Goldring	Edward Goldring, Peter Ward	University of York	Comparative Politics
abstract_0300.html	176	P5-03	Does income transparency affect support for redistribution? Evidence from Finland’s Tax Day	Maurice Dunaiski	Maurice Dunaiski (1), Janne Tukiainen (2,3)	1. London School of Economics, 2. VATT Institute for Economic Research, 3. University of Turku	Elections, Public Opinion, and Voting Behaviour
abstract_0299.html	191	P5-03	Re-assessing the link between multinational corporations and conflicts: evidence from geo-referenced data	Katharina Pfaff	Katharina Pfaff (1), Birgit Meyer (1,2)	1. Wirtschaftsuniversität Wien, 2. Österreichisches Institut für Wirtschaftsforschung Wien	International Relations and Conflict
abstract_0298.html	403	P5-03	Natural disasters and Green party support	António Valentim	António Valentim	Humboldt Universitat zu Berlin	Elections, Public Opinion, and Voting Behaviour
abstract_0297.html	397	P5-03	Long-term Change in Conflict Attitudes: A Dynamic Approach	Alon Yakter	Alon Yakter (1), Liran Harsgor (2)	1. Tel Aviv University, 2. University of Haifa	International Relations and Conflict
abstract_0296.html	86	P5-02	Nascent Ambition and Government by the Privileged	Noam Lupu	Noam Lupu (1), Nicholas Carnes (2)	1. Vanderbilt University, 2. Duke University	Elections, Public Opinion, and Voting Behaviour
abstract_0295.html	577	P5-02	Representation in the Eyes of the Public as a Detriment to Support for Democracy	Clareta Treger	Liron Lavi (2), Naama Rivlin (1), Clareta Treger (1), Michal Shamir (1)	1. Tel Aviv University, 2. University of California-Los Angeles	Elections, Public Opinion, and Voting Behaviour
abstract_0294.html	223	P5-02	Do Citizens Reward Place-Based Policy? Evidence from the European Union	Roman Senninger	Roman Senninger	Aarhus University	EU Politics
abstract_0293.html	177	P5-02	Ambiguity as Strategy of Radical Left Party Leaders in Western Europe	Sarah Wagner	Sarah Wagner	University of Essex	Political Communications
abstract_0292.html	650	P5-02	Social distanc(ing): Identity, perceived reality and policy preferences under pandemic threat	Itamar Yakir, Raanan Sulitzeanu-Kenan	Itamar Yakir, Raanan Sulitzeanu-Kenan	School of Public Policy and government, Hebrew University, Jerusalem	Political Economy, Public Policy and Administration
abstract_0291.html	71	P5-02	Turnover: How electoral accountability disrupts the bureaucracy and service delivery	Guillermo Toral	Guillermo Toral	Assistant Professor, Vanderbilt University	Political Economy, Public Policy and Administration
abstract_0290.html	139	P5-02	UN peacekeeping contribution and status enhancement	Shenghao Zhang	Shenghao Zhang	University of Essex	International Relations and Conflict
abstract_0289.html	540	P5-02	Christian Missionaries and Social Protection in Colonial Africa	Bastian Becker	Bastian Becker, Carina Schmitt	University of Bremen	Political Economy, Public Policy and Administration
abstract_0288.html	48	P5-02	Agents of State Control? Neighbourhood Organisations and Authoritarian Rule	Haoyu Zhai	Haoyu Zhai	European University Institute	Political Economy, Public Policy and Administration
abstract_0287.html	29	P5-02	Self-Perceptions of Income-Ability Gap and Preferences for Redistribution	Tomoko Matsumoto	Daiki Kishishita (1), Atsushi Yamagishi (2), Tomoko Matsumoto (1)	1. Tokyo University of Science, 2. Princeton University	Political Economy, Public Policy and Administration
abstract_0286.html	148	P5-02	Microchips and Sneakers: Bilateral Trade, Shifting Power, and Interstate Conflict	Yuleng Zeng	Yuleng Zeng	University of Salzburg	International Relations and Conflict
abstract_0285.html	308	P5-02	Carbon Inequality and Support for Carbon Pricing	Liam Beiser-McGrath	Liam Beiser-McGrath (1), Marius Busemeyer (2)	1. Royal Holloway, University of London, 2. Universität Konstanz	Political Economy, Public Policy and Administration
abstract_0284.html	356	P5-02	Pushed and pulled: Refugee preferences regarding resettlement	Miranda Simon	Alex Braithwaite (1), Michael Frith (2), Miranda Simon (3), Tiffany S. Chu (4), Faten Ghosn (1)	1. University of Arizona, 2. University College London, 3. University of Essex, 4. Virginia Military Institute	International Relations and Conflict
abstract_0283.html	206	P5-01	Who Gets Represented? (Un)equal Representation in the European Union	Christopher Wratil	Christopher Wratil	University College London	EU Politics
abstract_0282.html	528	P5-01	Making the Case for Democracy: The Effects of Democratic Talk on Citizens' Support for Liberal Democracy	Florian Foos	Alexander Wuttke (1), Florian Foos (2)	1. University of Mannheim, 2. London School of Economics and Political Science	Elections, Public Opinion, and Voting Behaviour
abstract_0281.html	240	P5-01	EU Solidarity and Risk-Sharing in the COVID-19 Crisis. Results of a conjoint experiment in five countries	Maurits Meijers	Maurits Meijers (1), Björn Bremer (2), Theresa Kuhn (3), Francesco Nicoli (3,4)	1. Radboud University Nijmegen, 2. Max Planck Institute for the Study of Societies (MPIfG), 3. University of Amsterdam, 4. Ghent University	EU Politics
abstract_0280.html	582	P5-01	The Scar Effects of Unemployment on Electoral Participation: Withdrawal and Mobilisation across European Societies	Leo Azzollini	Leo Azzollini	University of Oxford - Department of Social Policy and Intervention - Nuffield College	Elections, Public Opinion, and Voting Behaviour
abstract_0279.html	527	P5-01	Identity Formation between Structure and Agency – How 'Us' and 'Them' Relates to Voting Behavior in Contexts of Electoral Realignment	Simon Bornschier, Silja Häusermann, Marco Steenbergen, Delia Zollinger	Simon Bornschier, Lukas Haffert, Silja Häusermann, Marco Steenbergen, Delia Zollinger	University of Zurich	Elections, Public Opinion, and Voting Behaviour
abstract_0278.html	23	P5-01	Accountable to whom? Representative-voter congruence on views of representation	Andrea Fumarola	Andrea Fumarola	University of Bergen	Elections, Public Opinion, and Voting Behaviour
abstract_0277.html	578	P5-01	Who Are Staffing the UN Organizations? Contributions, Connections and Ideologies.	Wenqing Huangfu	Wenqing Huangfu, Tao Li, Xiangning Wu	University of Macau	International Relations and Conflict
abstract_0276.html	495	P5-01	A Tale of Two Thousand Cities: A Comparative Analysis of Political and Economic Dynamics in Western Eurasia	Jeppe Vierø	Jeppe Vierø	Department of Political Science, University of Copenhagen	Comparative Politics
abstract_0275.html	483	P5-01	A loyal base? Support for authoritarian regimes in times of crisis – The case of Turkey	Anja Neundorf	Anja Neundorf (1), Ksenia Northmore-Ball (2), Johannes Gerschewski (3), Aykut Ozturk (1), Katerina Tertytchnaya (4)	1. University of Glasgow, 2. Queen Mary, University of London, 3. WZB Berlin, 4. University College London	Comparative Politics
abstract_0274.html	192	P5-01	Gender Gaps in Preferences for Social Spending and Redistribution: A Comparative Analysis of Welfare Systems	Maria Grasso, Rosalind Shorrocks	Maria Grasso (1), Rosalind Shorrocks (2)	1. Queen Mary University of London, 2. University of Manchester	Elections, Public Opinion, and Voting Behaviour
abstract_0273.html	280	P5-01	"Intended and Unintended Consequences of International Interventions:  Patterns of Militant Violence in the Democratic Republic of Congo"	Hyeran Jo	Hyeran Jo	Texas A&M University (U.S.A.)	International Relations and Conflict
abstract_0272.html	105	P5-01	EMOTIONS AND PUBLIC SUPPORT FOR CLIMATE CHANGE POLICIES	Defne Günay, Gizem Arıkan, Gizem Melek	Defne Günay (1), Gizem Arıkan (2), Gizem Melek (1)	1. Ya?ar University, 2. Trinity College Dublin	Political Communications
abstract_0271.html	74	P5-01	Resolved or belligerent: crisis signaling without inherent assurances	Shusuke Ioku	Shusuke Ioku	Waseda University	International Relations and Conflict
abstract_0270.html	469	P4-05	How Healthy is our Democracy: Public Health and Political Participation	Dragana Vidovic	Dragana Vidovic (1), Gina Reinhardt (2)	1. University of Essex, 2. University of Essex	Elections, Public Opinion, and Voting Behaviour
